akc_breed,breed
treeing_walker_coonhound,walker_hound
vizsla,vizsla
weimaraner,weimaraner
welsh_springer_spaniel,welsh_springer_spaniel
welsh_terrier,
west_highland_white_terrier,west_highland_white_terrier
wetterhoun,
whippet,whippet
wire_fox_terrier,wire-haired_fox_terrier
wirehaired_pointing_griffon,
wirehaired_vizsla,
working_kelpie,
xoloitzcuintli,mexican_hairless
yakutian_laika,
yorkshire_terrier,yorkshire_terrier
dingo,dingo
dhole,dhole
african_hunting_dog,african_hunting_dog
