Breed,Ranking,Height (min),Height (max),Weight (min),Weight (max),Lifespan (min),Lifespan (max),Breed Group,Grooming Frequency (value),Shedding (value),Energy Level (value),Trainability (value),Demeanor (value)
Redbone Coonhound,142.0,21.0,27.0,50.0,70.0,12.0,15.0,Hound Group,0.4,0.6,0.6,0.8,0.8
Rhodesian Ridgeback,41.0,24.0,27.0,65.0,75.0,10.0,10.0,Hound Group,0.4,0.6,0.6,0.4,0.6
Romanian Mioritic Shepherd Dog,0.0,22.0,29.0,100.0,130.0,12.0,14.0,Foundation Stock Service,0.4,0.4,0.6,0.4,0.2
Rottweiler,8.0,22.0,27.0,85.0,130.0,9.0,10.0,Working Group,0.4,0.6,0.6,0.6,0.4
Russell Terrier,82.0,10.0,18.0,9.0,15.0,12.0,14.0,Terrier Group,0.4,0.4,1.0,0.6,0.8
Russian Toy,0.0,8.0,11.0,6.0,7.0,12.0,14.0,Miscellaneous Class,0.4,0.2,0.6,0.6,0.8
Russian Tsvetnaya Bolonka,0.0,11.0,11.0,6.0,9.0,12.0,16.0,Foundation Stock Service,0.6,0.2,0.6,0.6,0.8
Saint Bernard,48.0,25.0,28.0,110.0,200.0,8.0,10.0,Working Group,0.4,0.6,0.6,0.6,0.8
Saluki,120.0,21.0,28.0,29.0,66.0,10.0,17.0,Hound Group,0.2,0.4,0.8,0.4,0.4
Samoyed,59.0,19.0,24.0,35.0,65.0,12.0,14.0,Working Group,0.6,0.6,0.8,0.4,0.8
Schapendoes,0.0,16.0,20.0,26.0,55.0,12.0,15.0,Foundation Stock Service,0.4,0.6,0.6,0.8,0.6
Schipperke,105.0,10.0,13.0,10.0,16.0,12.0,14.0,Non-Sporting Group,0.4,0.6,0.8,0.4,0.6
Scottish Deerhound,158.0,28.0,32.0,75.0,110.0,8.0,11.0,Hound Group,0.2,0.6,0.6,0.4,0.6
Scottish Terrier,57.0,10.0,10.0,18.0,22.0,12.0,12.0,Terrier Group,0.6,0.4,0.6,0.4,0.6
Sealyham Terrier,164.0,10.0,11.0,23.0,24.0,12.0,14.0,Terrier Group,0.6,0.6,0.6,0.4,0.6
Segugio Italiano,0.0,19.0,25.0,39.0,62.0,11.0,13.0,Foundation Stock Service,0.4,0.6,0.4,1.0,0.8
Shetland Sheepdog,25.0,13.0,16.0,18.0,25.0,12.0,14.0,Herding Group,0.6,0.6,0.6,1.0,0.4
Shiba Inu,44.0,13.0,16.0,18.0,30.0,13.0,16.0,Non-Sporting Group,0.4,0.6,0.6,0.4,0.4
Shih Tzu,20.0,9.0,11.0,9.0,16.0,10.0,18.0,Toy Group,0.8,0.2,0.6,0.6,0.8
Shikoku,0.0,17.0,22.0,35.0,55.0,10.0,12.0,Foundation Stock Service,0.4,0.8,0.6,0.4,0.6
Siberian Husky,14.0,20.0,24.0,35.0,60.0,12.0,14.0,Working Group,0.4,0.6,0.8,0.4,0.8
Silky Terrier,112.0,9.0,10.0,9.0,10.0,13.0,15.0,Toy Group,0.6,0.4,0.6,0.6,0.6
Skye Terrier,178.0,10.0,10.0,23.0,25.0,12.0,14.0,Terrier Group,0.8,0.6,0.6,0.4,0.4
Sloughi,192.0,24.0,29.0,35.0,50.0,10.0,15.0,Hound Group,0.4,0.2,0.6,0.4,0.4
Slovakian Wirehaired Pointer,0.0,22.0,27.0,50.0,65.0,12.0,15.0,Foundation Stock Service,0.2,0.4,0.8,0.4,1.0
