Breed,Ranking,Height (min),Height (max),Weight (min),Weight (max),Lifespan (min),Lifespan (max),Breed Group,Grooming Frequency (value),Shedding (value),Energy Level (value),Trainability (value),Demeanor (value)
Dandie Dinmont Terrier,176.0,8.0,11.0,18.0,24.0,12.0,15.0,Terrier Group,0.8,0.2,0.6,0.4,0.4
Danish-Swedish Farmdog,0.0,12.0,15.0,15.0,20.0,11.0,13.0,Foundation Stock Service,0.2,0.4,0.8,1.0,0.8
Deutscher Wachtelhund,0.0,18.0,21.0,40.0,55.0,12.0,14.0,Foundation Stock Service,0.4,0.8,0.6,1.0,0.8
Doberman Pinscher,17.0,24.0,28.0,66.0,99.0,10.0,12.0,Working Group,0.2,0.8,1.0,1.0,0.6
Dogo Argentino,0.0,24.0,27.0,80.0,100.0,9.0,15.0,Working Group,0.2,0.2,1.0,1.0,0.8
Dogue de Bordeaux,67.0,23.0,27.0,99.0,110.0,5.0,8.0,Working Group,0.2,0.8,0.6,0.6,0.6
Drentsche Patrijshond,0.0,21.0,24.0,55.0,73.0,11.0,14.0,Foundation Stock Service,0.4,0.8,0.8,0.6,0.4
Drever,0.0,12.0,15.0,35.0,40.0,15.0,15.0,Foundation Stock Service,0.2,0.4,0.6,0.2,0.6
Dutch Shepherd,0.0,21.0,25.0,42.0,75.0,11.0,14.0,Miscellaneous Class,0.4,0.6,1.0,0.6,0.6
English Cocker Spaniel,52.0,15.0,17.0,26.0,34.0,12.0,14.0,Sporting Group,0.6,0.4,0.6,1.0,0.8
English Foxhound,188.0,21.0,25.0,65.0,70.0,10.0,13.0,Hound Group,0.2,0.8,0.8,0.6,0.8
English Setter,94.0,24.0,25.0,50.0,70.0,12.0,12.0,Sporting Group,0.6,0.8,0.8,0.8,0.8
English Springer Spaniel,27.0,19.0,20.0,45.0,55.0,12.0,14.0,Sporting Group,0.4,0.4,0.6,1.0,0.8
English Toy Spaniel,135.0,10.0,10.0,8.0,14.0,10.0,12.0,Toy Group,0.6,0.6,0.6,0.4,0.6
Entlebucher Mountain Dog,157.0,16.0,21.0,40.0,65.0,11.0,13.0,Herding Group,0.2,0.2,1.0,0.4,0.4
Estrela Mountain Dog,0.0,24.0,29.0,77.0,132.0,10.0,14.0,Foundation Stock Service,0.4,0.6,0.4,0.8,0.8
Eurasier,0.0,19.0,24.0,40.0,70.0,12.0,16.0,Foundation Stock Service,0.6,0.6,0.6,0.6,0.4
Field Spaniel,149.0,17.0,18.0,35.0,50.0,12.0,13.0,Sporting Group,0.4,0.8,0.6,0.6,0.4
Finnish Lapphund,161.0,16.0,21.0,33.0,53.0,12.0,15.0,Herding Group,0.4,0.6,0.6,1.0,0.4
Finnish Spitz,184.0,15.0,20.0,20.0,33.0,13.0,15.0,Non-Sporting Group,0.4,0.6,1.0,0.6,0.8
Flat-Coated Retriever,91.0,22.0,25.0,60.0,70.0,8.0,10.0,Sporting Group,0.4,0.8,1.0,1.0,0.8
French Bulldog,4.0,11.0,13.0,28.0,28.0,10.0,12.0,Non-Sporting Group,0.2,0.8,0.4,0.6,0.6
French Spaniel,0.0,21.0,24.0,50.0,60.0,10.0,12.0,Foundation Stock Service,0.6,0.4,0.6,0.8,0.8
German Longhaired Pointer,0.0,22.0,28.0,55.0,80.0,12.0,14.0,Foundation Stock Service,0.2,0.8,0.8,1.0,0.8
German Pinscher,134.0,17.0,20.0,25.0,45.0,12.0,14.0,Working Group,0.2,0.4,1.0,0.6,0.6
German Shepherd Dog,2.0,22.0,26.0,50.0,90.0,7.0,10.0,Herding Group,0.4,0.8,0.6,1.0,0.6
German Shorthaired Pointer,9.0,22.0,28.0,55.0,80.0,10.0,12.0,Sporting Group,0.4,0.8,1.0,1.0,0.8
German Spitz,0.0,12.0,20.0,15.0,50.0,13.0,15.0,Foundation Stock Service,0.6,0.6,0.6,1.0,0.4
German Wirehaired Pointer,63.0,22.0,26.0,55.0,80.0,14.0,16.0,Sporting Group,0.4,0.8,1.0,1.0,0.4
Giant Schnauzer,78.0,23.0,28.0,55.0,85.0,12.0,15.0,Working Group,0.8,0.2,1.0,0.8,0.6
Glen of Imaal Terrier,174.0,12.0,14.0,32.0,40.0,10.0,15.0,Terrier Group,0.6,0.4,0.6,0.4,0.6
Golden Retriever,3.0,21.0,24.0,55.0,75.0,10.0,12.0,Sporting Group,0.4,0.6,1.0,1.0,0.8
Gordon Setter,115.0,23.0,27.0,45.0,80.0,12.0,13.0,Sporting Group,0.4,0.6,1.0,0.4,0.4
Grand Basset Griffon Vendeen,177.0,15.0,18.0,40.0,45.0,13.0,15.0,Hound Group,0.4,0.6,1.0,0.4,0.8
Great Dane,16.0,28.0,32.0,110.0,175.0,7.0,10.0,Working Group,0.2,0.6,0.8,0.6,0.6
Great Pyrenees,66.0,25.0,32.0,85.0,100.0,10.0,12.0,Working Group,0.4,0.6,1.0,0.4,0.4
Greater Swiss Mountain Dog,74.0,23.0,29.0,85.0,140.0,8.0,11.0,Working Group,0.4,0.6,0.8,0.6,0.6
Greyhound,145.0,27.0,30.0,60.0,70.0,10.0,13.0,Hound Group,0.2,0.4,0.8,0.4,0.8
Hamiltonstovare,0.0,19.0,24.0,40.0,75.0,14.0,17.0,Foundation Stock Service,0.2,0.2,0.8,0.6,0.8
Hanoverian Scenthound,0.0,19.0,21.0,79.0,99.0,10.0,14.0,Foundation Stock Service,0.2,0.2,0.6,0.4,0.4
Harrier,189.0,19.0,21.0,40.0,60.0,12.0,15.0,Hound Group,0.4,0.4,1.0,0.8,0.8
Havanese,24.0,8.0,11.0,7.0,13.0,14.0,16.0,Toy Group,0.6,0.4,0.6,0.8,1.0
Hokkaido,0.0,18.0,20.0,44.0,66.0,12.0,15.0,Foundation Stock Service,0.4,0.6,0.8,0.4,0.6
Hovawart,0.0,23.0,28.0,65.0,90.0,10.0,14.0,Foundation Stock Service,0.2,0.6,0.6,0.2,0.4
Ibizan Hound,152.0,22.0,28.0,40.0,55.0,11.0,14.0,Hound Group,0.2,0.4,1.0,0.4,0.4
Icelandic Sheepdog,155.0,16.0,18.0,25.0,30.0,12.0,14.0,Herding Group,0.4,0.6,0.8,1.0,0.8
Irish Red and White Setter,146.0,22.0,26.0,35.0,60.0,11.0,15.0,Sporting Group,0.4,0.6,1.0,0.8,0.8
Irish Setter,77.0,25.0,27.0,65.0,75.0,12.0,15.0,Sporting Group,0.6,0.6,1.0,0.6,1.0
Irish Terrier,116.0,18.0,18.0,25.0,27.0,13.0,15.0,Terrier Group,0.2,0.4,0.6,0.6,0.6
Irish Water Spaniel,159.0,21.0,24.0,45.0,65.0,12.0,13.0,Sporting Group,0.4,0.6,1.0,0.8,0.4
Irish Wolfhound,76.0,30.0,32.0,105.0,120.0,6.0,8.0,Hound Group,0.4,0.6,0.6,0.4,0.6
Italian Greyhound,73.0,15.0,13.0,7.0,14.0,14.0,15.0,Toy Group,0.2,0.6,0.6,0.4,0.2
Jagdterrier,0.0,13.0,16.0,17.0,22.0,10.0,12.0,Foundation Stock Service,0.4,0.6,0.8,0.6,0.8
Japanese Chin,104.0,8.0,11.0,7.0,11.0,10.0,12.0,Toy Group,0.4,0.6,0.6,0.4,0.4
Japanese Spitz,0.0,12.0,15.0,10.0,25.0,12.0,14.0,Foundation Stock Service,0.4,0.4,0.6,0.8,0.8
Jindo,0.0,19.0,22.0,17.0,20.0,14.0,14.0,Foundation Stock Service,0.4,0.6,0.8,0.4,0.4
Kai Ken,0.0,15.0,20.0,25.0,40.0,12.0,15.0,Foundation Stock Service,0.2,0.6,0.8,0.4,0.4
Karelian Bear Dog,0.0,19.0,24.0,44.0,49.0,11.0,13.0,Foundation Stock Service,0.2,0.6,0.4,0.2,0.2
Keeshond,95.0,17.0,18.0,30.0,45.0,12.0,15.0,Non-Sporting Group,0.6,0.6,0.6,0.8,0.8
Kerry Blue Terrier,129.0,17.0,20.0,33.0,40.0,12.0,15.0,Terrier Group,0.6,0.4,0.6,0.2,0.6
Kishu Ken,0.0,19.0,22.0,30.0,60.0,11.0,13.0,Foundation Stock Service,0.2,0.6,0.8,0.4,0.4
Komondor,173.0,24.0,26.0,112.0,125.0,10.0,12.0,Working Group,1.0,0.6,0.6,0.4,0.4
Kromfohrlander,0.0,15.0,18.0,20.0,35.0,13.0,15.0,Foundation Stock Service,0.6,0.8,0.6,0.6,0.4
Kuvasz,163.0,26.0,30.0,70.0,115.0,10.0,12.0,Working Group,0.4,0.8,0.6,0.4,0.4
Labrador Retriever,1.0,21.0,25.0,55.0,75.0,10.0,12.0,Sporting Group,0.4,0.8,1.0,1.0,1.0
Lagotto Romagnolo,99.0,16.0,19.0,24.0,35.0,15.0,17.0,Sporting Group,0.2,0.2,0.6,1.0,0.6
Lakeland Terrier,147.0,13.0,15.0,15.0,17.0,12.0,15.0,Terrier Group,0.4,0.2,0.6,0.6,0.6
Lancashire Heeler,0.0,10.0,12.0,9.0,17.0,12.0,15.0,Miscellaneous Class,0.2,0.6,0.8,0.8,0.8
Lapponian Herder,0.0,18.0,20.0,70.0,70.0,10.0,14.0,Foundation Stock Service,0.4,0.6,0.6,1.0,0.4
Leonberger,93.0,25.0,32.0,90.0,170.0,9.0,9.0,Working Group,0.8,0.8,0.6,1.0,0.8
Lhasa Apso,71.0,10.0,11.0,12.0,18.0,12.0,15.0,Non-Sporting Group,0.6,0.2,0.6,0.4,0.4
Lowchen,168.0,12.0,14.0,15.0,15.0,15.0,15.0,Non-Sporting Group,0.2,0.2,0.6,0.6,1.0
Maltese,37.0,7.0,9.0,7.0,7.0,12.0,15.0,Toy Group,0.8,0.2,0.6,0.6,1.0
Manchester Terrier (Standard),133.0,15.0,16.0,17.0,18.0,15.0,17.0,Terrier Group,0.4,0.4,0.6,0.8,0.6
Manchester Terrier (Toy),133.0,10.0,12.0,12.0,12.0,15.0,17.0,Toy Group,0.4,0.4,0.6,0.8,0.6
Mastiff,29.0,27.0,30.0,150.0,160.0,6.0,10.0,Working Group,0.2,0.4,0.6,0.6,0.6
